rct_number,antibody_name,antibody_category,trial_design,control_arm,phase,enrollment,dose_mg_m2,dose_frequency,duration_days,age_range,gender_distribution,ecog_performance,prior_treatments,comorbidities,baseline_organ_function,adverse_event,toxicity_type,organ_system,severity,ctcae_grade,fraction_affected_%,reversible,manageable,management_strategy,mitigation_strategy,time_to_onset_days,resolution_days,dose_modification_required,dose_modification_type,treatment_discontinuation,fatal_outcome,is_failed_candidate,failure_reason,contributed_to_failure,biomarker_correlation,predictive_factor,risk_stratification
RCT40964,Rituximab,Anti-CD20,Single-arm,None,Phase 1,24,2,Monthly,93,18-75,40% M/60% F,1-2,1,3,Moderate impairment,Rash,Dermatological,Cardiac,Moderate,4,27.72,Yes,Yes,Supportive care,Premedication,16,29,Yes,None,No,Yes,Yes,Efficacy,No,Negative,Age,Unknown
RCT77794,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 3,262,15,Bi-weekly,108,18-75,40% M/60% F,0-1,2,1,Mild impairment,Neutropenia,Cardiac,Hepatic,Severe,5,4.22,No,No,Dose reduction,Monitoring,22,52,Yes,Delay,Yes,Yes,Yes,Safety,No,None,None,High
RCT26619,Pembrolizumab,Anti-PD-1,Randomized,Standard of care,Phase 2,57,8,Monthly,116,≥18,60% M/40% F,0-2,5,2,Moderate impairment,Nausea,Hepatic,Gastrointestinal,Mild,3,22.24,Yes,No,Treatment hold,Dose adjustment,10,14,Yes,None,Yes,Yes,No,Competition,No,None,ECOG,High
RCT66537,Bevacizumab,Anti-VEGF,Randomized,Active comparator,Phase 3,189,14,Bi-weekly,51,18-75,50% M/50% F,1-2,2,2,Mild impairment,Infusion reaction,Cardiac,Hepatic,Moderate,1,3.28,Yes,No,Dose reduction,Patient education,21,28,No,Discontinuation,Yes,No,Yes,Safety,No,Positive,Prior treatments,Unknown
RCT28327,Cetuximab,Anti-EGFR,Crossover,None,Phase 3,174,3,Weekly,40,18-65,40% M/60% F,1-2,4,3,Normal,Infusion reaction,Cardiac,Gastrointestinal,Mild,2,22.33,Yes,Yes,Discontinuation,Dose adjustment,15,53,Yes,Discontinuation,No,Yes,Yes,Competition,Yes,None,None,High
RCT12549,Rituximab,Anti-CD20,Crossover,None,Phase 3,273,8,Every 3 weeks,175,18-75,60% M/40% F,1-2,4,1,Normal,Nausea,Dermatological,Skin,Moderate,5,18.04,Yes,Yes,Treatment hold,Dose adjustment,28,36,No,Discontinuation,No,No,No,Regulatory,,Positive,None,Unknown
RCT15153,Trastuzumab,Anti-HER2,Single-arm,Active comparator,Phase 2,164,6,Weekly,90,21-85,40% M/60% F,0-1,2,2,Moderate impairment,Nausea,Cardiac,Cardiac,Severe,1,17.82,Yes,Yes,Discontinuation,Dose adjustment,21,55,No,None,No,No,Yes,,Yes,Unknown,Prior treatments,Medium
RCT81864,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 2,260,8,Every 3 weeks,112,21-85,60% M/40% F,0-2,5,0,Mild impairment,Fatigue,Dermatological,Gastrointestinal,Severe,5,28.75,Yes,Yes,Supportive care,Monitoring,7,22,Yes,Discontinuation,Yes,Yes,Yes,Safety,No,None,ECOG,Medium
RCT78860,Bevacizumab,Anti-VEGF,Crossover,Placebo,Phase 1,120,15,Monthly,128,18-65,40% M/60% F,1-2,2,1,Moderate impairment,Infusion reaction,Cardiac,Blood,Mild,1,23.18,Yes,No,Treatment hold,Dose adjustment,5,14,Yes,Reduction,No,No,No,Competition,,Positive,Age,Low
RCT96499,Cetuximab,Anti-EGFR,Crossover,Placebo,Phase 2,208,13,Weekly,117,≥18,60% M/40% F,0-2,1,0,Mild impairment,Neutropenia,Hepatic,Gastrointestinal,Mild,2,26.47,No,Yes,Dose reduction,Monitoring,13,17,No,Reduction,Yes,No,No,,Yes,Positive,Age,Low
RCT47239,Rituximab,Anti-CD20,Randomized,Placebo,Phase 1,129,2,Monthly,101,21-85,50% M/50% F,0-2,5,0,Moderate impairment,Rash,Cardiac,Gastrointestinal,Moderate,1,21.06,Yes,Yes,Treatment hold,Premedication,15,27,Yes,Reduction,Yes,No,Yes,Regulatory,,None,Age,Medium
RCT18729,Trastuzumab,Anti-HER2,Crossover,None,Phase 2,249,2,Weekly,155,18-75,40% M/60% F,0-2,2,3,Normal,Neutropenia,Cardiac,Skin,Moderate,2,23.77,No,No,Discontinuation,Patient education,8,56,Yes,Delay,No,Yes,No,Efficacy,No,None,Age,Unknown
RCT50230,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,184,3,Weekly,46,18-75,60% M/40% F,0-1,2,0,Normal,Neutropenia,Gastrointestinal,Cardiac,Moderate,5,22.37,No,Yes,Dose reduction,Premedication,15,46,No,Discontinuation,Yes,No,Yes,Competition,Yes,Positive,None,Unknown
RCT24931,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 3,129,11,Every 3 weeks,118,21-85,50% M/50% F,0-2,3,0,Normal,Nausea,Hepatic,Skin,Severe,5,21.2,No,Yes,Supportive care,Dose adjustment,21,40,Yes,Delay,Yes,Yes,No,Competition,,None,Prior treatments,Medium
RCT77784,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 1,75,5,Bi-weekly,91,21-85,60% M/40% F,1-2,5,3,Mild impairment,Rash,Gastrointestinal,Blood,Moderate,4,10.91,No,No,Supportive care,Dose adjustment,10,28,Yes,None,No,Yes,Yes,Efficacy,No,Unknown,Prior treatments,Low
RCT72421,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 1,43,6,Every 3 weeks,33,18-65,50% M/50% F,0-1,5,2,Mild impairment,Infusion reaction,Dermatological,Hepatic,Moderate,2,13.9,Yes,Yes,Dose reduction,Monitoring,17,36,No,Discontinuation,Yes,Yes,No,Safety,,Unknown,ECOG,Low
RCT35730,Trastuzumab,Anti-HER2,Single-arm,Standard of care,Phase 3,157,12,Weekly,85,≥18,60% M/40% F,0-2,3,2,Normal,Fatigue,Gastrointestinal,Gastrointestinal,Mild,3,6.03,Yes,No,Discontinuation,Patient education,11,48,Yes,Delay,No,No,Yes,Efficacy,Yes,Negative,ECOG,Unknown
RCT21257,Pembrolizumab,Anti-PD-1,Single-arm,Standard of care,Phase 2,160,12,Monthly,56,≥18,40% M/60% F,1-2,2,0,Mild impairment,Nausea,Dermatological,Gastrointestinal,Severe,1,3.65,No,No,Supportive care,Patient education,27,48,No,None,No,Yes,No,Competition,Yes,Unknown,Prior treatments,Medium
RCT40321,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 2,76,5,Weekly,149,≥18,60% M/40% F,1-2,0,2,Moderate impairment,Fatigue,Dermatological,Skin,Mild,5,8.68,No,No,Supportive care,Premedication,13,2,No,Delay,Yes,Yes,Yes,Safety,Yes,Negative,None,Unknown
RCT42346,Cetuximab,Anti-EGFR,Crossover,Active comparator,Phase 1,171,15,Every 3 weeks,158,≥18,50% M/50% F,1-2,1,0,Moderate impairment,Fatigue,Cardiac,Blood,Severe,3,13.5,No,No,Supportive care,Dose adjustment,2,52,Yes,Discontinuation,No,Yes,No,Competition,Yes,Unknown,ECOG,Low
RCT88087,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 3,261,3,Bi-weekly,157,≥18,60% M/40% F,1-2,3,2,Mild impairment,Rash,Gastrointestinal,Skin,Moderate,1,7.46,Yes,Yes,Treatment hold,Monitoring,14,27,No,Discontinuation,No,Yes,No,Regulatory,Yes,Negative,None,Low
RCT11214,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 1,144,10,Weekly,174,18-65,40% M/60% F,0-2,3,0,Mild impairment,Nausea,Gastrointestinal,Blood,Severe,4,29.95,Yes,Yes,Supportive care,Dose adjustment,28,57,No,Discontinuation,Yes,Yes,No,Safety,No,Unknown,None,Low
RCT26967,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 1,299,12,Every 3 weeks,146,18-75,40% M/60% F,0-2,1,3,Mild impairment,Fatigue,Hematological,Cardiac,Moderate,5,24.13,Yes,No,Supportive care,Monitoring,3,30,Yes,Discontinuation,Yes,No,No,Safety,No,None,Age,Medium
RCT20974,Bevacizumab,Anti-VEGF,Crossover,None,Phase 2,135,9,Weekly,51,21-85,60% M/40% F,1-2,2,3,Mild impairment,Nausea,Cardiac,Blood,Mild,4,22.14,No,No,Dose reduction,Dose adjustment,20,25,No,Delay,Yes,Yes,No,Competition,,Negative,Age,Low
RCT98474,Cetuximab,Anti-EGFR,Crossover,None,Phase 1,210,14,Every 3 weeks,176,21-85,40% M/60% F,0-1,0,3,Normal,Rash,Hepatic,Skin,Moderate,5,14.45,Yes,Yes,Dose reduction,Dose adjustment,12,22,Yes,Reduction,No,No,No,Regulatory,Yes,Positive,None,Medium
RCT66700,Rituximab,Anti-CD20,Randomized,None,Phase 2,82,9,Bi-weekly,105,21-85,50% M/50% F,0-2,1,2,Normal,Nausea,Gastrointestinal,Gastrointestinal,Mild,2,14.46,Yes,Yes,Dose reduction,Dose adjustment,21,20,No,Delay,No,No,No,Competition,No,None,ECOG,Unknown
RCT22374,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 1,300,6,Bi-weekly,111,18-75,40% M/60% F,0-1,3,3,Moderate impairment,Infusion reaction,Hepatic,Hepatic,Mild,2,15.48,No,Yes,Dose reduction,Dose adjustment,13,49,No,Reduction,Yes,No,No,Regulatory,Yes,Negative,Prior treatments,Low
RCT10996,Pembrolizumab,Anti-PD-1,Crossover,Placebo,Phase 1,251,2,Weekly,105,≥18,50% M/50% F,1-2,0,3,Normal,Infusion reaction,Dermatological,Blood,Mild,5,13.47,No,No,Supportive care,Premedication,28,50,No,None,No,Yes,No,Regulatory,Yes,Positive,ECOG,Low
RCT26541,Bevacizumab,Anti-VEGF,Crossover,None,Phase 3,241,11,Weekly,60,≥18,60% M/40% F,0-2,4,3,Mild impairment,Fatigue,Gastrointestinal,Gastrointestinal,Mild,5,15.83,Yes,Yes,Discontinuation,Premedication,24,2,No,Reduction,No,Yes,Yes,Competition,Yes,None,None,High
RCT66270,Cetuximab,Anti-EGFR,Randomized,Standard of care,Phase 3,225,13,Every 3 weeks,50,≥18,60% M/40% F,1-2,5,0,Moderate impairment,Nausea,Hematological,Cardiac,Severe,3,18.22,No,Yes,Supportive care,Monitoring,6,40,No,Delay,No,Yes,Yes,Regulatory,No,Negative,ECOG,High
RCT86235,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 2,172,11,Every 3 weeks,39,18-75,40% M/60% F,1-2,2,1,Moderate impairment,Infusion reaction,Hematological,Gastrointestinal,Severe,5,16.12,Yes,No,Discontinuation,Dose adjustment,24,9,Yes,Reduction,Yes,Yes,Yes,Efficacy,,None,None,High
RCT17311,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 3,209,10,Monthly,65,18-65,50% M/50% F,1-2,4,0,Normal,Fatigue,Dermatological,Hepatic,Moderate,2,21.73,No,Yes,Dose reduction,Monitoring,5,53,No,None,Yes,Yes,Yes,Regulatory,,Negative,Age,Medium
RCT54841,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 2,65,5,Bi-weekly,168,21-85,50% M/50% F,1-2,1,3,Normal,Infusion reaction,Gastrointestinal,Gastrointestinal,Severe,1,1.93,Yes,No,Supportive care,Premedication,26,46,Yes,Delay,Yes,Yes,No,Efficacy,No,Negative,Age,Low
RCT36501,Bevacizumab,Anti-VEGF,Randomized,None,Phase 3,154,7,Weekly,50,18-65,40% M/60% F,1-2,1,0,Moderate impairment,Rash,Hematological,Gastrointestinal,Moderate,4,17.61,Yes,No,Treatment hold,Patient education,12,32,Yes,Discontinuation,Yes,No,Yes,Efficacy,Yes,Unknown,Gender,Unknown
RCT32149,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 2,208,6,Every 3 weeks,32,21-85,60% M/40% F,0-2,2,2,Moderate impairment,Fatigue,Hematological,Hepatic,Mild,1,3.87,No,No,Treatment hold,Premedication,14,27,Yes,Discontinuation,No,No,No,Competition,No,None,ECOG,Unknown
RCT39125,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 2,253,8,Bi-weekly,146,18-75,50% M/50% F,0-2,0,0,Normal,Nausea,Cardiac,Cardiac,Mild,1,18.9,No,No,Supportive care,Patient education,15,31,Yes,None,No,Yes,No,Competition,Yes,Negative,None,High
RCT84443,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 2,235,1,Every 3 weeks,84,21-85,60% M/40% F,1-2,3,1,Normal,Rash,Hepatic,Blood,Severe,1,6.55,Yes,No,Dose reduction,Patient education,25,18,No,Delay,Yes,No,Yes,Competition,No,Unknown,Gender,Low
RCT17568,Pembrolizumab,Anti-PD-1,Crossover,None,Phase 2,81,1,Weekly,120,21-85,40% M/60% F,0-1,3,2,Mild impairment,Neutropenia,Hematological,Gastrointestinal,Moderate,4,13.83,No,Yes,Discontinuation,Monitoring,15,43,Yes,None,No,Yes,Yes,Competition,Yes,Negative,Prior treatments,Medium
RCT50757,Bevacizumab,Anti-VEGF,Single-arm,Placebo,Phase 2,216,2,Weekly,86,≥18,60% M/40% F,1-2,5,3,Normal,Rash,Dermatological,Cardiac,Severe,5,13.12,Yes,No,Dose reduction,Dose adjustment,24,32,Yes,Delay,Yes,Yes,No,Efficacy,No,Positive,Gender,Unknown
RCT12989,Cetuximab,Anti-EGFR,Crossover,Standard of care,Phase 1,223,2,Weekly,58,18-75,50% M/50% F,1-2,1,3,Normal,Nausea,Dermatological,Hepatic,Mild,3,26.76,Yes,No,Discontinuation,Premedication,8,51,No,None,Yes,Yes,No,Safety,No,None,Age,Low
RCT62890,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 2,85,10,Every 3 weeks,108,21-85,50% M/50% F,1-2,5,3,Mild impairment,Neutropenia,Hepatic,Gastrointestinal,Moderate,1,16.21,Yes,Yes,Treatment hold,Dose adjustment,20,23,Yes,Delay,Yes,No,Yes,,No,Negative,None,Medium
RCT55283,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 2,213,11,Bi-weekly,50,18-65,40% M/60% F,0-2,4,0,Mild impairment,Nausea,Hematological,Hepatic,Severe,4,8.06,No,No,Treatment hold,Monitoring,25,5,No,Discontinuation,No,Yes,Yes,Safety,Yes,Unknown,None,Medium
RCT30673,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 3,86,15,Weekly,105,18-75,60% M/40% F,1-2,2,1,Normal,Fatigue,Cardiac,Hepatic,Mild,2,4.19,No,No,Treatment hold,Dose adjustment,12,30,Yes,Reduction,No,Yes,Yes,Efficacy,,Positive,Gender,High
RCT86004,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 3,272,9,Monthly,50,18-65,40% M/60% F,0-1,5,0,Moderate impairment,Nausea,Hematological,Hepatic,Moderate,4,1.9,Yes,No,Supportive care,Dose adjustment,7,1,Yes,Discontinuation,No,No,No,Regulatory,Yes,Unknown,Age,Medium
RCT77117,Cetuximab,Anti-EGFR,Randomized,Placebo,Phase 3,228,14,Every 3 weeks,45,21-85,50% M/50% F,0-2,5,2,Mild impairment,Infusion reaction,Hematological,Cardiac,Mild,4,29.38,No,No,Supportive care,Premedication,24,3,Yes,Delay,No,No,No,Regulatory,Yes,Positive,Age,Medium
RCT82450,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 2,26,10,Bi-weekly,100,18-75,50% M/50% F,0-1,0,1,Moderate impairment,Neutropenia,Hematological,Hepatic,Moderate,1,17.91,No,No,Supportive care,Dose adjustment,26,40,Yes,Reduction,Yes,Yes,Yes,Safety,No,Unknown,Age,High
RCT56589,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 3,34,1,Weekly,145,18-75,60% M/40% F,0-1,3,2,Normal,Fatigue,Hepatic,Cardiac,Severe,4,18.88,No,No,Supportive care,Patient education,21,18,Yes,Reduction,Yes,No,No,Efficacy,No,None,Prior treatments,High
RCT81213,Pembrolizumab,Anti-PD-1,Randomized,Active comparator,Phase 3,230,7,Monthly,167,18-75,60% M/40% F,1-2,5,0,Mild impairment,Infusion reaction,Hepatic,Hepatic,Severe,5,15.35,No,Yes,Discontinuation,Patient education,19,34,Yes,Delay,No,Yes,No,Regulatory,Yes,Unknown,Prior treatments,Unknown
RCT85571,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 3,113,1,Bi-weekly,132,21-85,60% M/40% F,0-1,5,2,Moderate impairment,Fatigue,Hepatic,Hepatic,Mild,4,12.34,Yes,Yes,Dose reduction,Patient education,18,7,No,Delay,No,No,Yes,Competition,No,Unknown,ECOG,Low
RCT82636,Cetuximab,Anti-EGFR,Single-arm,Placebo,Phase 2,153,1,Monthly,169,18-75,40% M/60% F,0-2,4,0,Mild impairment,Fatigue,Cardiac,Blood,Mild,2,10.35,Yes,Yes,Discontinuation,Monitoring,11,33,Yes,Delay,No,No,Yes,Competition,Yes,Unknown,Gender,Low
RCT55504,Rituximab,Anti-CD20,Crossover,Placebo,Phase 1,243,10,Weekly,35,21-85,40% M/60% F,0-2,2,2,Normal,Rash,Hepatic,Skin,Moderate,4,9.16,Yes,Yes,Treatment hold,Patient education,17,28,No,None,Yes,Yes,Yes,Regulatory,,Negative,None,High
RCT91106,Trastuzumab,Anti-HER2,Randomized,Placebo,Phase 1,202,9,Weekly,100,18-65,40% M/60% F,0-1,5,0,Moderate impairment,Fatigue,Dermatological,Cardiac,Mild,3,17.14,Yes,Yes,Treatment hold,Monitoring,2,16,No,None,No,No,Yes,Efficacy,No,Unknown,ECOG,Unknown
RCT84212,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 1,180,13,Monthly,97,21-85,40% M/60% F,0-2,4,1,Mild impairment,Infusion reaction,Hematological,Cardiac,Moderate,5,10.04,No,No,Treatment hold,Premedication,7,49,Yes,None,No,No,Yes,,,Negative,Gender,Low
RCT70358,Bevacizumab,Anti-VEGF,Crossover,Active comparator,Phase 1,86,12,Every 3 weeks,180,18-65,40% M/60% F,0-1,3,2,Normal,Infusion reaction,Hepatic,Cardiac,Moderate,4,4.75,Yes,No,Supportive care,Dose adjustment,22,19,Yes,Delay,No,No,No,Efficacy,No,Positive,None,Medium
RCT92662,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 3,298,5,Weekly,98,18-75,60% M/40% F,0-1,3,2,Normal,Infusion reaction,Hematological,Hepatic,Moderate,1,28.99,Yes,Yes,Supportive care,Monitoring,13,29,Yes,None,No,No,No,Efficacy,Yes,None,Prior treatments,Unknown
RCT75520,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,169,14,Bi-weekly,55,18-75,50% M/50% F,0-1,2,2,Mild impairment,Nausea,Gastrointestinal,Gastrointestinal,Severe,3,26.25,Yes,Yes,Discontinuation,Premedication,3,60,No,Reduction,No,No,No,Regulatory,,None,Prior treatments,High
RCT34816,Trastuzumab,Anti-HER2,Single-arm,None,Phase 2,272,7,Monthly,58,18-65,50% M/50% F,1-2,3,2,Moderate impairment,Fatigue,Cardiac,Gastrointestinal,Moderate,4,29.97,No,Yes,Treatment hold,Premedication,25,12,Yes,None,No,No,Yes,Safety,,None,Gender,Unknown
RCT29948,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 2,125,11,Monthly,72,18-65,60% M/40% F,0-2,4,0,Moderate impairment,Rash,Hepatic,Skin,Severe,5,1.74,No,Yes,Treatment hold,Patient education,9,57,No,Discontinuation,No,Yes,No,Efficacy,No,Positive,Prior treatments,Medium
RCT36841,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 1,129,13,Every 3 weeks,180,≥18,60% M/40% F,0-1,1,0,Normal,Fatigue,Cardiac,Gastrointestinal,Mild,3,3.38,Yes,No,Supportive care,Premedication,16,33,No,Delay,Yes,No,Yes,Regulatory,,Unknown,Gender,Low
RCT98072,Cetuximab,Anti-EGFR,Single-arm,Standard of care,Phase 1,36,4,Bi-weekly,35,18-75,50% M/50% F,1-2,0,1,Mild impairment,Infusion reaction,Hepatic,Hepatic,Mild,3,2.67,No,No,Discontinuation,Dose adjustment,27,20,No,Discontinuation,No,Yes,No,Competition,,Positive,Age,Medium
RCT81137,Rituximab,Anti-CD20,Single-arm,Standard of care,Phase 3,81,8,Every 3 weeks,141,18-75,50% M/50% F,0-2,4,3,Mild impairment,Fatigue,Hematological,Blood,Severe,1,26.14,No,Yes,Dose reduction,Patient education,19,12,Yes,Discontinuation,Yes,No,Yes,,No,Negative,ECOG,Unknown
RCT18637,Trastuzumab,Anti-HER2,Single-arm,None,Phase 3,153,11,Bi-weekly,148,21-85,60% M/40% F,0-1,0,3,Normal,Nausea,Gastrointestinal,Blood,Moderate,2,1.3,Yes,No,Supportive care,Dose adjustment,25,30,Yes,Delay,Yes,Yes,Yes,Efficacy,Yes,None,ECOG,Unknown
RCT83668,Pembrolizumab,Anti-PD-1,Single-arm,Active comparator,Phase 1,162,12,Bi-weekly,43,18-65,40% M/60% F,0-1,1,1,Moderate impairment,Infusion reaction,Gastrointestinal,Cardiac,Mild,2,19.11,No,Yes,Discontinuation,Dose adjustment,25,60,Yes,Discontinuation,Yes,Yes,Yes,Competition,No,Unknown,Age,High
RCT61928,Bevacizumab,Anti-VEGF,Randomized,None,Phase 3,281,3,Every 3 weeks,44,21-85,60% M/40% F,1-2,0,2,Normal,Nausea,Gastrointestinal,Gastrointestinal,Moderate,3,22.26,No,No,Treatment hold,Dose adjustment,9,60,Yes,None,Yes,No,Yes,,Yes,Unknown,Age,Low
RCT71041,Cetuximab,Anti-EGFR,Randomized,None,Phase 1,250,13,Bi-weekly,136,18-75,50% M/50% F,0-1,3,0,Mild impairment,Nausea,Dermatological,Gastrointestinal,Mild,5,29.19,No,Yes,Discontinuation,Dose adjustment,8,2,Yes,Discontinuation,Yes,Yes,Yes,,Yes,Unknown,Gender,Unknown
RCT45784,Rituximab,Anti-CD20,Randomized,Active comparator,Phase 1,110,3,Weekly,145,18-75,60% M/40% F,0-2,2,1,Moderate impairment,Fatigue,Cardiac,Hepatic,Severe,4,24.56,No,No,Supportive care,Dose adjustment,10,32,Yes,Discontinuation,No,Yes,No,,,None,ECOG,Unknown
RCT45958,Trastuzumab,Anti-HER2,Single-arm,Placebo,Phase 1,21,4,Monthly,89,≥18,60% M/40% F,1-2,1,3,Mild impairment,Infusion reaction,Cardiac,Skin,Severe,3,24.66,Yes,No,Supportive care,Monitoring,26,42,Yes,Delay,No,No,No,Efficacy,No,Negative,Gender,Low
RCT14108,Pembrolizumab,Anti-PD-1,Single-arm,Placebo,Phase 1,150,7,Bi-weekly,89,≥18,60% M/40% F,0-2,0,1,Normal,Fatigue,Hepatic,Cardiac,Mild,1,3.62,No,Yes,Supportive care,Monitoring,7,4,No,Delay,Yes,Yes,Yes,Regulatory,,Positive,Prior treatments,Low
RCT45029,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 1,116,14,Every 3 weeks,147,18-65,40% M/60% F,0-2,5,0,Normal,Infusion reaction,Gastrointestinal,Hepatic,Mild,1,23.93,No,No,Dose reduction,Patient education,14,52,Yes,Reduction,Yes,Yes,No,Efficacy,No,None,None,Medium
RCT52164,Cetuximab,Anti-EGFR,Randomized,Active comparator,Phase 1,30,4,Monthly,154,18-65,40% M/60% F,0-2,5,2,Normal,Rash,Hematological,Blood,Moderate,5,9.52,No,No,Dose reduction,Patient education,26,9,Yes,Discontinuation,No,No,No,Safety,Yes,Unknown,Gender,Unknown
RCT45371,Rituximab,Anti-CD20,Crossover,None,Phase 3,51,12,Bi-weekly,75,21-85,50% M/50% F,1-2,0,3,Normal,Neutropenia,Cardiac,Skin,Moderate,4,23.43,No,No,Discontinuation,Monitoring,3,55,Yes,Delay,Yes,Yes,Yes,,,Negative,Age,Unknown
RCT65321,Trastuzumab,Anti-HER2,Randomized,Active comparator,Phase 2,284,2,Weekly,154,≥18,40% M/60% F,1-2,1,3,Normal,Fatigue,Cardiac,Hepatic,Severe,4,22.37,Yes,No,Dose reduction,Dose adjustment,25,41,Yes,Delay,Yes,No,Yes,Competition,No,Negative,ECOG,High
RCT81940,Pembrolizumab,Anti-PD-1,Crossover,Standard of care,Phase 3,268,10,Bi-weekly,37,18-65,50% M/50% F,0-1,5,2,Moderate impairment,Fatigue,Hepatic,Cardiac,Mild,1,19.78,Yes,Yes,Supportive care,Patient education,5,22,No,Reduction,No,Yes,Yes,Regulatory,No,Positive,Prior treatments,Unknown
RCT57673,Bevacizumab,Anti-VEGF,Randomized,Placebo,Phase 1,213,10,Every 3 weeks,129,18-75,60% M/40% F,1-2,4,0,Moderate impairment,Infusion reaction,Dermatological,Cardiac,Severe,3,7.0,Yes,Yes,Discontinuation,Premedication,26,59,Yes,Delay,Yes,Yes,No,Efficacy,,None,None,High
RCT26067,Cetuximab,Anti-EGFR,Randomized,None,Phase 3,179,5,Every 3 weeks,120,18-65,50% M/50% F,0-2,1,0,Moderate impairment,Rash,Hepatic,Cardiac,Severe,1,5.59,No,Yes,Supportive care,Monitoring,13,42,Yes,Reduction,No,Yes,No,Safety,No,Unknown,Age,High
RCT97895,Rituximab,Anti-CD20,Crossover,None,Phase 3,119,10,Weekly,97,18-65,60% M/40% F,0-2,2,3,Normal,Fatigue,Hepatic,Hepatic,Severe,2,10.66,Yes,Yes,Discontinuation,Premedication,16,17,No,Reduction,No,Yes,Yes,Regulatory,Yes,Positive,Prior treatments,Medium
RCT79650,Trastuzumab,Anti-HER2,Crossover,Active comparator,Phase 1,277,2,Monthly,118,18-75,50% M/50% F,0-2,5,0,Moderate impairment,Fatigue,Hematological,Skin,Severe,2,25.98,Yes,Yes,Treatment hold,Patient education,2,30,No,Discontinuation,Yes,Yes,No,Efficacy,,None,ECOG,Medium
RCT89115,Pembrolizumab,Anti-PD-1,Crossover,Active comparator,Phase 3,245,6,Every 3 weeks,32,21-85,60% M/40% F,0-1,3,0,Mild impairment,Fatigue,Cardiac,Gastrointestinal,Moderate,2,24.1,Yes,No,Discontinuation,Dose adjustment,13,45,Yes,Discontinuation,No,Yes,No,Efficacy,,None,ECOG,Medium
RCT14313,Bevacizumab,Anti-VEGF,Single-arm,Standard of care,Phase 2,133,1,Monthly,82,21-85,60% M/40% F,0-2,1,0,Normal,Nausea,Hematological,Gastrointestinal,Severe,4,24.28,No,Yes,Dose reduction,Dose adjustment,8,6,Yes,Discontinuation,Yes,No,Yes,Regulatory,,Unknown,ECOG,Low
RCT99556,Cetuximab,Anti-EGFR,Crossover,None,Phase 1,134,1,Monthly,109,18-65,40% M/60% F,0-2,2,0,Moderate impairment,Infusion reaction,Dermatological,Skin,Moderate,4,29.7,No,Yes,Discontinuation,Dose adjustment,18,27,Yes,Reduction,No,Yes,No,Regulatory,Yes,Unknown,ECOG,Unknown
RCT60197,Rituximab,Anti-CD20,Crossover,Active comparator,Phase 1,138,13,Weekly,50,18-65,60% M/40% F,0-2,3,3,Mild impairment,Fatigue,Hematological,Cardiac,Severe,1,26.19,Yes,No,Treatment hold,Monitoring,23,46,No,Delay,Yes,Yes,Yes,,Yes,None,Gender,High
RCT37595,Trastuzumab,Anti-HER2,Randomized,None,Phase 2,82,5,Monthly,135,18-75,60% M/40% F,0-1,5,3,Moderate impairment,Fatigue,Hepatic,Skin,Severe,5,14.7,No,Yes,Supportive care,Patient education,4,39,Yes,None,No,Yes,Yes,,,Unknown,None,Unknown
RCT32283,Pembrolizumab,Anti-PD-1,Randomized,None,Phase 1,106,11,Monthly,62,21-85,60% M/40% F,0-1,5,2,Moderate impairment,Neutropenia,Gastrointestinal,Hepatic,Mild,4,27.03,Yes,No,Treatment hold,Patient education,11,6,No,Discontinuation,No,Yes,No,Efficacy,Yes,None,Prior treatments,Low
